seller_id,avg_breach_rate,avg_rating,avg_exposure,avg_return_rate,breach_component,rating_component,exposure_component,return_component,health_score,is_at_risk,at_risk_label,n_returns
SEL0001,0.125,4.0,65.61666666666666,0.041666666666666664,87.5,75.0,65.61666666666666,95.83333333333334,79.685,False,Healthy,1.0
SEL0002,0.07051282051282051,4.133333333333334,59.31532051282051,0.07051282051282051,92.94871794871796,78.33333333333334,59.31532051282051,92.94871794871796,79.9356217948718,False,Healthy,3.0
SEL0003,0.25,3.6,25.0,0.125,75.0,65.0,25.0,87.5,59.875,False,Healthy,1.0
SEL0004,0.09090909090909091,4.0,59.38181818181818,0.09090909090909091,90.9090909090909,75.0,59.38181818181818,90.9090909090909,78.2690909090909,False,Healthy,1.0
SEL0005,0.11607142857142858,4.055555555555555,60.352976190476184,0.03571428571428571,88.39285714285714,76.38888888888889,60.352976190476184,96.42857142857143,78.78545634920634,False,Healthy,1.0
SEL0006,0.1111111111111111,3.7142857142857144,68.96916666666667,0.018518518518518517,88.88888888888889,67.85714285714286,68.96916666666667,98.14814814814815,80.0955119047619,False,Healthy,1.0
SEL0007,0.34375,3.2777777777777777,13.803125,0.21875,65.625,56.94444444444444,13.803125,78.125,50.21732638888889,True,At-Risk,4.0
SEL0008,0.6,3.0,24.84,0.37333333333333335,40.0,50.0,24.84,62.66666666666667,40.852,True,At-Risk,11.0
SEL0009,0.6041666666666666,3.03125,14.250134575569358,0.3680555555555556,39.583333333333336,50.78125,14.250134575569358,63.19444444444444,37.76462370600414,True,At-Risk,13.0
SEL0010,0.20833333333333334,3.75,55.33611111111111,0.041666666666666664,79.16666666666666,68.75,55.33611111111111,95.83333333333334,72.43416666666666,False,Healthy,1.0
SEL0011,0.14285714285714285,3.4285714285714284,60.59047619047619,0.14285714285714285,85.71428571428572,60.71428571428571,60.59047619047619,85.71428571428572,73.17714285714285,False,Healthy,2.0
SEL0012,0.4930555555555555,3.3333333333333335,35.97708333333333,0.3611111111111111,50.69444444444444,58.333333333333336,35.97708333333333,63.888888888888886,49.786180555555546,True,At-Risk,5.0
SEL0013,0.07692307692307693,4.125,80.26923076923077,0.23076923076923078,92.3076923076923,78.125,80.26923076923077,76.92307692307692,83.55192307692307,False,Healthy,3.0
SEL0014,0.13793103448275862,3.676470588235294,67.17408045977012,0.034482758620689655,86.20689655172413,66.91176470588235,67.17408045977012,96.55172413793103,78.1897494929006,False,Healthy,2.0
SEL0015,0.6306666666666666,2.4,22.754933333333334,0.30266666666666664,36.93333333333334,35.0,22.754933333333334,69.73333333333333,37.21314666666667,True,At-Risk,13.0
SEL0016,0.5666666666666667,3.1666666666666665,14.5465,0.36666666666666664,43.333333333333336,54.166666666666664,14.5465,63.33333333333333,39.86395,True,At-Risk,9.0
SEL0017,0.48333333333333334,2.96875,31.487820512820512,0.22435897435897434,51.66666666666666,49.21875,31.487820512820512,77.56410256410257,49.008044871794866,True,At-Risk,8.0
SEL0018,0.10606060606060605,3.888888888888889,60.095151515151514,0.06818181818181818,89.39393939393939,72.22222222222221,60.095151515151514,93.18181818181819,77.73814141414141,False,Healthy,2.0
SEL0019,0.25,4.166666666666667,57.64166666666667,0.08333333333333333,75.0,79.16666666666667,57.64166666666667,91.66666666666666,73.12583333333333,False,Healthy,1.0
SEL0020,0.08333333333333333,4.5,51.475,0.0,91.66666666666666,87.5,51.475,100.0,80.02583333333332,False,Healthy,0.0
SEL0021,0.3157894736842105,3.5,35.35701754385965,0.2631578947368421,68.42105263157895,62.5,35.35701754385965,73.6842105263158,58.10710526315789,False,Healthy,6.0
SEL0022,0.09259259259259259,4.055555555555555,55.778395061728396,0.05555555555555555,90.74074074074075,76.38888888888889,55.778395061728396,94.44444444444444,77.93722222222222,False,Healthy,2.0
SEL0023,0.14367816091954022,3.4824561403508776,56.074137931034485,0.11494252873563217,85.63218390804597,62.06140350877194,56.074137931034485,88.50574712643679,72.48164851784634,False,Healthy,5.0
SEL0024,0.421875,3.676470588235294,27.691344086021505,0.16145833333333334,57.8125,66.91176470588235,27.691344086021505,83.85416666666666,54.502256166982924,False,Healthy,7.0
SEL0025,0.10606060606060605,4.1923076923076925,48.68068181818182,0.0606060606060606,89.39393939393939,79.8076923076923,48.68068181818182,93.93939393939394,75.94453088578088,False,Healthy,2.0
SEL0026,0.14814814814814814,4.3125,54.20858024691358,0.05555555555555555,85.18518518518519,82.8125,54.20858024691358,94.44444444444444,76.80655555555556,False,Healthy,2.0
